Year,Month,location_id,crime_count,weekday,weekend,morning,afternoon,evening,night,holiday_num,num_days,morning_rate,afternoon_rate,evening_rate,night_rate,sin_month,cos_month,time_id,crime_pct_change
2022,3,2,15,10,5,3,8,2,2,0,31,0.2,0.5333333333333333,0.13333333333333333,0.13333333333333333,0.8660254037844386,0.5000000000000001,24267,-0.42307692307692313
2022,4,2,8,7,1,2,3,1,2,0,30,0.25,0.375,0.125,0.25,1.0,6.123233995736766e-17,24268,-0.4666666666666667
2022,5,2,15,12,3,3,9,2,1,1,31,0.2,0.6,0.13333333333333333,0.06666666666666667,0.8660254037844387,-0.4999999999999998,24269,0.875
2022,6,2,12,10,2,4,3,3,2,1,30,0.3333333333333333,0.25,0.25,0.16666666666666666,0.49999999999999994,-0.8660254037844387,24270,-0.19999999999999996
2022,7,2,11,10,1,3,4,3,1,1,31,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.09090909090909091,1.2246467991473532e-16,-1.0,24271,-0.08333333333333337
2022,8,2,23,19,4,6,16,0,1,0,31,0.2608695652173913,0.6956521739130435,0.0,0.043478260869565216,-0.4999999999999997,-0.8660254037844388,24272,1.0909090909090908
2022,9,2,19,18,1,6,10,1,2,1,30,0.3157894736842105,0.5263157894736842,0.05263157894736842,0.10526315789473684,-0.8660254037844385,-0.5000000000000004,24273,-0.17391304347826086
2022,10,2,19,14,5,4,11,3,1,1,31,0.21052631578947367,0.5789473684210527,0.15789473684210525,0.05263157894736842,-1.0,-1.8369701987210297e-16,24274,0.0
2022,11,2,7,6,1,2,5,0,0,2,30,0.2857142857142857,0.7142857142857143,0.0,0.0,-0.8660254037844386,0.5000000000000001,24275,-0.631578947368421
2022,12,2,18,18,0,7,7,0,4,1,31,0.3888888888888889,0.3888888888888889,0.0,0.2222222222222222,-0.5000000000000004,0.8660254037844384,24276,1.5714285714285716
2023,1,2,21,16,5,7,7,2,5,2,31,0.3333333333333333,0.3333333333333333,0.09523809523809523,0.23809523809523808,0.0,1.0,24277,0.16666666666666674
2023,2,2,19,17,2,5,10,3,1,1,28,0.2631578947368421,0.5263157894736842,0.15789473684210525,0.05263157894736842,0.49999999999999994,0.8660254037844387,24278,-0.09523809523809523
2023,3,2,23,19,4,6,8,1,8,0,31,0.2608695652173913,0.34782608695652173,0.043478260869565216,0.34782608695652173,0.8660254037844386,0.5000000000000001,24279,0.21052631578947367
2023,4,2,17,14,3,5,6,2,4,0,30,0.29411764705882354,0.35294117647058826,0.11764705882352941,0.23529411764705882,1.0,6.123233995736766e-17,24280,-0.26086956521739135
2023,5,2,25,20,5,8,9,5,3,1,31,0.32,0.36,0.2,0.12,0.8660254037844387,-0.4999999999999998,24281,0.47058823529411775
2023,6,2,19,17,2,6,6,6,1,1,30,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.05263157894736842,0.49999999999999994,-0.8660254037844387,24282,-0.24
2023,7,2,11,8,3,6,3,1,1,1,31,0.5454545454545454,0.2727272727272727,0.09090909090909091,0.09090909090909091,1.2246467991473532e-16,-1.0,24283,-0.42105263157894735
2023,8,2,16,15,1,6,7,2,1,0,31,0.375,0.4375,0.125,0.0625,-0.4999999999999997,-0.8660254037844388,24284,0.4545454545454546
2023,9,2,26,20,6,9,10,5,2,1,30,0.34615384615384615,0.38461538461538464,0.19230769230769232,0.07692307692307693,-0.8660254037844385,-0.5000000000000004,24285,0.625
2023,10,2,16,13,3,5,7,0,4,1,31,0.3125,0.4375,0.0,0.25,-1.0,-1.8369701987210297e-16,24286,-0.3846153846153846
2023,11,2,15,13,2,2,7,4,2,2,30,0.13333333333333333,0.4666666666666667,0.26666666666666666,0.13333333333333333,-0.8660254037844386,0.5000000000000001,24287,-0.0625
2023,12,2,20,17,3,7,6,1,6,1,31,0.35,0.3,0.05,0.3,-0.5000000000000004,0.8660254037844384,24288,0.33333333333333326
2018,1,4,1,0,1,1,0,0,0,2,31,1.0,0.0,0.0,0.0,0.0,1.0,24217,-0.95
2018,2,4,1,0,1,0,1,0,0,1,28,0.0,1.0,0.0,0.0,0.49999999999999994,0.8660254037844387,24218,0.0
2018,5,4,2,2,0,1,1,0,0,1,31,0.5,0.5,0.0,0.0,0.8660254037844387,-0.4999999999999998,24221,1.0
2018,6,4,1,1,0,0,1,0,0,0,30,0.0,1.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,24222,-0.5
2018,7,4,2,1,1,1,1,0,0,0,31,0.5,0.5,0.0,0.0,1.2246467991473532e-16,-1.0,24223,1.0
2018,10,4,1,0,1,1,0,0,0,1,31,1.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,24226,-0.5
2018,12,4,1,1,0,0,1,0,0,1,31,0.0,1.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,24228,0.0
2019,2,4,1,1,0,1,0,0,0,1,28,1.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,24230,0.0
2019,8,4,2,1,1,1,1,0,0,0,31,0.5,0.5,0.0,0.0,-0.4999999999999997,-0.8660254037844388,24236,1.0
2019,11,4,1,0,1,1,0,0,0,2,30,1.0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,24239,-0.5
2019,12,4,1,0,1,0,0,1,0,1,31,0.0,0.0,1.0,0.0,-0.5000000000000004,0.8660254037844384,24240,0.0
2020,1,4,8,5,3,2,1,2,3,2,31,0.25,0.125,0.25,0.375,0.0,1.0,24241,7.0
2020,2,4,8,7,1,4,1,2,1,1,29,0.5,0.125,0.25,0.125,0.49999999999999994,0.8660254037844387,24242,0.0
2020,3,4,10,6,4,3,2,2,3,0,31,0.3,0.2,0.2,0.3,0.8660254037844386,0.5000000000000001,24243,0.25
2020,4,4,7,6,1,6,1,0,0,0,30,0.8571428571428571,0.14285714285714285,0.0,0.0,1.0,6.123233995736766e-17,24244,-0.30000000000000004
2020,5,4,10,7,3,3,4,2,1,1,31,0.3,0.4,0.2,0.1,0.8660254037844387,-0.4999999999999998,24245,0.4285714285714286
2020,6,4,1,1,0,1,0,0,0,0,30,1.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,24246,-0.9
2020,8,4,2,1,1,1,0,0,1,0,31,0.5,0.0,0.0,0.5,-0.4999999999999997,-0.8660254037844388,24248,1.0
2020,9,4,1,1,0,0,0,0,1,1,30,0.0,0.0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,24249,-0.5
2020,10,4,3,0,3,2,0,1,0,1,31,0.6666666666666666,0.0,0.3333333333333333,0.0,-1.0,-1.8369701987210297e-16,24250,2.0
2021,1,4,3,1,2,2,1,0,0,2,31,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,1.0,24253,0.0
2021,2,4,5,2,3,0,1,2,2,1,28,0.0,0.2,0.4,0.4,0.49999999999999994,0.8660254037844387,24254,0.6666666666666667
2021,3,4,20,0,20,0,18,2,0,0,31,0.0,0.9,0.1,0.0,0.8660254037844386,0.5000000000000001,24255,3.0
2021,4,4,12,3,9,1,8,1,2,0,30,0.08333333333333333,0.6666666666666666,0.08333333333333333,0.16666666666666666,1.0,6.123233995736766e-17,24256,-0.4
2021,5,4,4,3,1,0,3,1,0,1,31,0.0,0.75,0.25,0.0,0.8660254037844387,-0.4999999999999998,24257,-0.6666666666666667
