Year,Month,location_id,crime_count,weekday,weekend,morning,afternoon,evening,night,holiday_num,num_days,morning_rate,afternoon_rate,evening_rate,night_rate,sin_month,cos_month,time_id,crime_pct_change,crime_pct_change_lag1,morning_rate_lag1,afternoon_rate_lag1,evening_rate_lag1,night_rate_lag1,crime_count_lag1,morning_lag1,afternoon_lag1,evening_lag1,night_lag1,crime_pct_change_lag2,morning_rate_lag2,afternoon_rate_lag2,evening_rate_lag2,night_rate_lag2,crime_count_lag2,morning_lag2,afternoon_lag2,evening_lag2,night_lag2,crime_pct_change_lag3,morning_rate_lag3,afternoon_rate_lag3,evening_rate_lag3,night_rate_lag3,crime_count_lag3,morning_lag3,afternoon_lag3,evening_lag3,night_lag3,crime_pct_change_lag6,morning_rate_lag6,afternoon_rate_lag6,evening_rate_lag6,night_rate_lag6,crime_count_lag6,morning_lag6,afternoon_lag6,evening_lag6,night_lag6,crime_pct_change_lag12,morning_rate_lag12,afternoon_rate_lag12,evening_rate_lag12,night_rate_lag12,crime_count_lag12,morning_lag12,afternoon_lag12,evening_lag12,night_lag12,crime_pct_change_ma3,morning_rate_ma3,afternoon_rate_ma3,evening_rate_ma3,night_rate_ma3,crime_count_ma3,morning_ma3,afternoon_ma3,evening_ma3,night_ma3,crime_pct_change_ma6,morning_rate_ma6,afternoon_rate_ma6,evening_rate_ma6,night_rate_ma6,crime_count_ma6,morning_ma6,afternoon_ma6,evening_ma6,night_ma6
2019,1,2,9,8,1,7,2,0,0,2,31,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0,1.0,24229,0.8,-0.16666666666666663,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.19999999999999996,0.8333333333333334,0.16666666666666666,0.0,0.0,6.0,5.0,1.0,0.0,0.0,1.5,0.8,0.2,0.0,0.0,5.0,4.0,1.0,0.0,0.0,-0.33333333333333337,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,-0.6086956521739131,0.2222222222222222,0.7777777777777778,0.0,0.0,9.0,2.0,7.0,0.0,0.0,0.5111111111111111,0.8777777777777778,0.12222222222222223,0.0,0.0,5.333333333333333,4.666666666666667,0.6666666666666666,0.0,0.0,0.2787037037037037,0.7444444444444445,0.21851851851851853,0.018518518518518517,0.018518518518518517,5.166666666666667,3.6666666666666665,1.1666666666666667,0.16666666666666666,0.16666666666666666
2019,1,20,102,82,20,40,21,26,15,2,31,0.39215686274509803,0.20588235294117646,0.2549019607843137,0.14705882352941177,0.0,1.0,24229,0.030303030303030276,0.03125,0.2828282828282828,0.29292929292929293,0.25252525252525254,0.1717171717171717,99.0,28.0,29.0,25.0,17.0,-0.17948717948717952,0.46875,0.17708333333333334,0.20833333333333334,0.14583333333333334,96.0,45.0,17.0,20.0,14.0,4.85,0.3418803418803419,0.24786324786324787,0.26495726495726496,0.1452991452991453,117.0,40.0,29.0,31.0,17.0,-0.84375,0.5333333333333333,0.2,0.06666666666666667,0.2,15.0,8.0,3.0,1.0,3.0,-0.37142857142857144,0.45454545454545453,0.2840909090909091,0.06818181818181818,0.19318181818181818,88.0,40.0,25.0,6.0,17.0,1.5672542735042734,0.3644862082362082,0.23929195804195805,0.24193861693861693,0.1542832167832168,104.0,37.666666666666664,25.0,25.333333333333332,16.0,1.3895742407710492,0.4473731277587661,0.21929136909190103,0.17888893021871746,0.15444657293061548,73.5,29.333333333333332,18.0,16.0,10.166666666666666
2019,1,24,7,5,2,3,3,1,0,2,31,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,0.0,1.0,24229,-0.5625,0.4545454545454546,0.5625,0.1875,0.1875,0.0625,16.0,9.0,3.0,3.0,1.0,0.0,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.0,11.0,4.0,5.0,2.0,0.0,10.0,0.36363636363636365,0.45454545454545453,0.09090909090909091,0.09090909090909091,11.0,4.0,5.0,1.0,1.0,0.6666666666666667,0.8,0.0,0.2,0.0,5.0,4.0,0.0,1.0,0.0,-0.9435483870967742,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,7.0,4.0,1.0,1.0,1.0,3.484848484848485,0.4299242424242425,0.36553030303030304,0.1534090909090909,0.05113636363636364,12.666666666666666,5.666666666666667,4.333333333333333,2.0,0.6666666666666666,1.6702020202020202,0.4316287878787879,0.43276515151515155,0.1100378787878788,0.02556818181818182,7.666666666666667,3.6666666666666665,2.5,1.1666666666666667,0.3333333333333333
2019,1,25,18,16,2,7,4,4,3,2,31,0.3888888888888889,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.0,1.0,24229,0.2857142857142858,-0.17647058823529416,0.35714285714285715,0.42857142857142855,0.14285714285714285,0.07142857142857142,14.0,5.0,6.0,2.0,1.0,-0.2272727272727273,0.23529411764705882,0.29411764705882354,0.11764705882352941,0.35294117647058826,17.0,4.0,5.0,2.0,6.0,10.0,0.5,0.36363636363636365,0.045454545454545456,0.09090909090909091,22.0,11.0,8.0,1.0,2.0,-0.7272727272727273,0.0,0.3333333333333333,0.0,0.6666666666666666,3.0,0.0,1.0,0.0,2.0,-0.9653767820773931,0.35294117647058826,0.5882352941176471,0.058823529411764705,0.0,17.0,6.0,10.0,1.0,0.0,3.198752228163993,0.36414565826330536,0.36210847975553856,0.10198624904507257,0.17175961293608352,17.666666666666668,6.666666666666667,6.333333333333333,1.6666666666666667,3.0,1.7337195484254309,0.365406162464986,0.2532764620999915,0.08432645785586963,0.29699091757915286,11.333333333333334,4.5,3.5,1.1666666666666667,2.1666666666666665
2019,2,2,6,5,1,4,2,0,0,1,28,0.6666666666666666,0.3333333333333333,0.0,0.0,0.49999999999999994,0.8660254037844387,24230,-0.33333333333333337,0.8,0.7777777777777778,0.2222222222222222,0.0,0.0,9.0,7.0,2.0,0.0,0.0,-0.16666666666666663,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.19999999999999996,0.8333333333333334,0.16666666666666666,0.0,0.0,6.0,5.0,1.0,0.0,0.0,1.25,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.1111111111111111,9.0,3.0,4.0,1.0,1.0,-0.2222222222222222,0.0,1.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.27777777777777773,0.8703703703703703,0.12962962962962962,0.0,0.0,6.666666666666667,5.666666666666667,1.0,0.0,0.0,0.4675925925925926,0.7074074074074074,0.25555555555555554,0.018518518518518517,0.018518518518518517,6.0,4.166666666666667,1.5,0.16666666666666666,0.16666666666666666
2019,2,5,6,6,0,3,1,0,2,1,28,0.5,0.16666666666666666,0.0,0.3333333333333333,0.49999999999999994,0.8660254037844387,24230,1.0,-0.7,0.3333333333333333,0.6666666666666666,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.4285714285714286,0.5,0.4,0.1,0.0,10.0,5.0,4.0,1.0,0.0,0.3999999999999999,0.42857142857142855,0.0,0.5714285714285714,0.0,7.0,3.0,0.0,4.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,3.0,2.0,0.0,1.0,0.0,0.19999999999999996,0.5,0.3333333333333333,0.16666666666666666,0.0,6.0,3.0,2.0,1.0,0.0,0.042857142857142705,0.42063492063492064,0.35555555555555557,0.2238095238095238,0.0,6.666666666666667,3.0,2.0,1.6666666666666667,0.0,0.576984126984127,0.5547619047619048,0.17777777777777778,0.16746031746031745,0.09999999999999999,4.833333333333333,2.3333333333333335,1.0,1.0,0.5
2019,2,8,69,57,12,20,37,10,2,1,28,0.2898550724637681,0.5362318840579711,0.14492753623188406,0.028985507246376812,0.49999999999999994,0.8660254037844387,24230,-0.18823529411764706,0.7346938775510203,0.17647058823529413,0.7058823529411765,0.11764705882352941,0.0,85.0,15.0,60.0,10.0,0.0,0.13953488372093026,0.22448979591836735,0.5102040816326531,0.22448979591836735,0.04081632653061224,49.0,11.0,25.0,11.0,2.0,-0.06521739130434778,0.16279069767441862,0.6046511627906976,0.13953488372093023,0.09302325581395349,43.0,7.0,26.0,6.0,4.0,4.4,0.3333333333333333,0.4444444444444444,0.18518518518518517,0.037037037037037035,27.0,9.0,12.0,5.0,1.0,-0.9222222222222223,0.07142857142857142,0.7142857142857143,0.21428571428571427,0.0,14.0,1.0,10.0,3.0,0.0,0.2696704566558676,0.1879170272760267,0.6069125324548424,0.16055724615427566,0.04461319411485524,59.0,11.0,37.0,9.0,2.0,1.5425512777106498,0.26907928658487323,0.5097767171130895,0.12925876263698752,0.0918852336650497,43.0,9.333333333333334,25.0,6.166666666666667,2.5
2019,2,13,38,28,10,6,7,16,9,1,28,0.15789473684210525,0.18421052631578946,0.42105263157894735,0.23684210526315788,0.49999999999999994,0.8660254037844387,24230,0.8095238095238095,0.9090909090909092,0.42857142857142855,0.09523809523809523,0.42857142857142855,0.047619047619047616,21.0,9.0,2.0,9.0,1.0,-0.3125,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.09090909090909091,11.0,4.0,3.0,3.0,1.0,-0.30434782608695654,0.0,0.3125,0.5625,0.125,16.0,0.0,5.0,9.0,2.0,1.7999999999999998,0.21428571428571427,0.5714285714285714,0.21428571428571427,0.0,14.0,3.0,8.0,3.0,0.0,-0.7772511848341233,0.19148936170212766,0.3191489361702128,0.2978723404255319,0.19148936170212766,47.0,9.0,15.0,14.0,9.0,0.09741436100131755,0.26406926406926406,0.22682178932178929,0.4212662337662338,0.08784271284271283,16.0,4.333333333333333,3.3333333333333335,7.0,1.3333333333333333,3.8606119424054213,0.20398080180688874,0.4767649319279754,0.2680865330321852,0.051167733232950624,14.333333333333334,3.5,5.5,4.5,0.8333333333333334
2019,2,20,109,80,29,40,28,28,13,1,28,0.3669724770642202,0.25688073394495414,0.25688073394495414,0.11926605504587157,0.49999999999999994,0.8660254037844387,24230,0.06862745098039214,0.030303030303030276,0.39215686274509803,0.20588235294117646,0.2549019607843137,0.14705882352941177,102.0,40.0,21.0,26.0,15.0,0.03125,0.2828282828282828,0.29292929292929293,0.25252525252525254,0.1717171717171717,99.0,28.0,29.0,25.0,17.0,-0.17948717948717952,0.46875,0.17708333333333334,0.20833333333333334,0.14583333333333334,96.0,45.0,17.0,20.0,14.0,5.266666666666667,0.4574468085106383,0.2978723404255319,0.18085106382978725,0.06382978723404255,94.0,43.0,28.0,17.0,6.0,-0.18181818181818177,0.2777777777777778,0.2916666666666667,0.16666666666666666,0.2638888888888889,72.0,20.0,21.0,12.0,19.0,-0.03931138306138308,0.3812450485244603,0.22529832640126757,0.23858684888096648,0.15486977619330564,99.0,37.666666666666664,22.333333333333332,23.666666666666668,15.333333333333334,1.5352497458215544,0.4238437159940602,0.22027176124876377,0.21026147923832528,0.14562304351885078,88.0,34.666666666666664,21.0,20.166666666666668,12.166666666666666
2019,2,24,19,13,6,2,11,4,2,1,28,0.10526315789473684,0.5789473684210527,0.21052631578947367,0.10526315789473684,0.49999999999999994,0.8660254037844387,24230,1.7142857142857144,-0.5625,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,7.0,3.0,3.0,1.0,0.0,0.4545454545454546,0.5625,0.1875,0.1875,0.0625,16.0,9.0,3.0,3.0,1.0,0.0,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.0,11.0,4.0,5.0,2.0,0.0,-0.6,0.5,0.5,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.1428571428571428,0.0,0.875,0.0,0.125,8.0,0.0,7.0,0.0,1.0,-0.035984848484848474,0.4515692640692641,0.35687229437229434,0.17072510822510822,0.020833333333333332,11.333333333333334,5.333333333333333,3.6666666666666665,2.0,0.3333333333333333,1.4653409090909093,0.369724025974026,0.5041937229437229,0.10051406926406926,0.02556818181818182,8.0,3.5,3.0,1.1666666666666667,0.3333333333333333
